id,q1,q2,q3,q4,q5,q6,total
170107574,2.25,1,1.76,1,1,1,8.01
180019066,2.25,0.75,2.00,1,1,1,8.00
180029240,2.10,0.50,1.76,1,1,0.75,7.11
180097181,2.25,1,2.25,1,1,1,8.50
180098683,2.25,1,1.76,,,,5.01
180100271,1.80,1,1.76,1,1,1,7.56
180102761,2.25,1,2.00,1,1,1,8.25
180113585,2.10,0.75,1.50,0,,,4.35
180125974,2.25,,2.00,1,1,,6.25
180127969,2.25,0.75,2.00,1,1,1,8.00
180144979,2.25,,2.25,1,1,,6.50
190029692,2.10,0.50,1.76,1,1,,6.36
190036427,2.25,0.50,2.00,1,0.83,1,7.58
190036761,2.25,1,2.00,1,1,1,8.25
190042303,2.25,0.50,1.76,1,1,1,7.51
190084570,2.25,0.50,1.76,1,1,1,7.51
190088168,1.50,0.50,0.75,0,1,1,4.75
190093421,2.25,1,1.76,1,1,1,8.01
190093625,2.25,1,2.00,1,1,1,8.25
190104821,2.25,1,1.76,1,1,0,7.01
190107243,2.10,0.50,1.76,1,1,1,7.36
190115548,2.25,1,1.76,1,1,1,8.01
190118555,1.95,0.50,2.00,1,1,1,7.45
190129221,1.95,1,1.76,1,1,1,7.71
200020323,2.25,0.75,1.76,1,1,1,7.76
200020625,2.10,1,2.00,1,1,1,8.10
200024868,2.25,0.50,2.00,1,1,0,6.75
200028154,2.25,0.75,1.76,1,1,1,7.76
200036351,2.25,0.75,1.76,1,1,1,7.76
200044559,2.10,0.50,1.76,1,1,1,7.36
200054333,2.25,0.50,1.76,1,1,1,7.51
202015901,1.95,0.50,1.50,1,1,,5.95
202016328,1.95,0.75,1.76,1,1,1,7.46
202017503,1.95,0.75,1.76,1,,,5.46
202017521,2.10,0.50,2.00,1,1,0.75,7.35
202017700,2.25,0.75,2.00,1,1,1,8.00
202023968,2.25,1,1.76,1,1,0.75,7.76
202028973,2.25,0.75,2.00,0,1,1,7.00
202045965,2.25,0.75,1.76,1,1,1,7.76
202046102,2.25,1,2.00,1,1,1,8.25
202046229,2.10,0.50,2.25,1,1,1,7.85
202063201,1.95,0.75,1.50,1,1,,6.20
211029361,2.25,1,2.00,1,1,1,8.25
211029497,2.10,1,1.76,1,1,1,7.86
211030658,2.25,,1.76,1,1,,6.01
211030961,2.25,0.75,2.00,1,1,1,8.00
211031628,2.25,0.50,1.76,1,1,0.75,7.26
211039546,2.25,0.50,1.76,1,0.67,1,7.18
211039573,2.25,,1.76,1,1,,6.01
211039671,2.25,0.50,2.00,1,1,1,7.75
211039680,2.25,,2.25,1,1,,6.50
211041080,1.95,0.75,1.76,1,1,0.75,7.21
211042327,2.10,1,1.24,0.33,1,1,6.67
211045113,2.10,0.75,1.76,1,1,1,7.61
211061331,2.25,0.75,2.00,1,1,1,8.00
211061574,2.25,1,1.50,1,1,1,7.75
211061897,2.25,1,1.76,1,1,1,8.01
211062016,2.25,1,2.00,1,1,1,8.25
211062339,2.10,,2.00,1,1,,6.10
211062910,2.25,,1.76,1,1,,6.01
212005453,1.95,1,2.00,1,1,1,7.95
221008310,2.25,0.75,1.76,1,1,1,7.76
221022014,2.25,0.50,1.76,0.67,1,,6.18
221022266,2.25,1,1.76,1,1,1,8.01
221022696,2.25,0.75,1.50,1,1,1,7.50
221029249,2.10,1,1.76,1,1,0.75,7.61
221034973,2.25,1,2.00,1,1,1,8.25
221037465,1.95,0.75,1.76,1,1,1,7.46
222006383,2.25,1,1.76,1,1,1,8.01
222015112,2.25,0.50,1.76,1,1,1,7.51
222024283,1.50,1,1.00,1,,,4.50
222037737,2.25,1,1.76,1,1,1,8.01
231011785,2.25,1,1.76,1,1,1,8.01
231026474,2.10,1,1.76,1,1,1,7.86
231026625,2.25,1,1.76,1,1,1,8.01
231026975,2.25,,2.00,0.33,1,,5.58
231032121,2.10,0.50,2.00,1,1,1,7.60
231035428,2.25,1,2.00,1,1,1,8.25
